1	2
1	10
1	11
1	13
1	16
1	23
1	26
1	46
1	50
1	64
1	75
1	84
1	88
1	98
1	105
1	123
2	10
2	11
2	23
2	26
2	36
2	41
2	46
2	50
2	54
2	55
2	69
2	88
2	98
2	99
2	116
2	128
3	1
3	10
3	15
3	16
3	20
3	36
3	41
3	43
3	46
3	47
3	50
3	55
3	69
3	83
3	88
3	98
4	27
4	56
4	57
4	62
4	63
4	82
4	85
4	86
4	104
4	110
4	111
4	112
4	114
4	118
4	120
4	121
5	4
5	17
5	19
5	37
5	38
5	39
5	53
5	54
5	59
5	66
5	72
5	83
5	90
5	97
5	105
5	125
6	7
6	20
6	32
6	39
6	40
6	45
6	58
6	60
6	73
6	74
6	80
6	102
6	106
6	113
6	115
6	122
7	12
7	24
7	32
7	39
7	40
7	44
7	67
7	73
7	76
7	92
7	94
7	96
7	106
7	107
7	119
7	122
8	9
8	31
8	49
8	51
8	57
8	62
8	65
8	82
8	86
8	87
8	89
8	93
8	108
8	110
8	111
8	117
9	4
9	27
9	33
9	51
9	61
9	68
9	70
9	79
9	85
9	86
9	89
9	110
9	112
9	114
9	121
9	124
10	3
10	4
10	11
10	13
10	20
10	23
10	35
10	43
10	46
10	47
10	55
10	75
10	98
10	99
10	113
10	123
11	1
11	2
11	3
11	7
11	20
11	29
11	36
11	41
11	43
11	50
11	55
11	64
11	69
11	77
11	109
11	113
12	7
12	14
12	39
12	40
12	44
12	49
12	58
12	60
12	70
12	73
12	74
12	80
12	91
12	96
12	102
12	115
13	3
13	10
13	11
13	20
13	23
13	25
13	29
13	35
13	36
13	41
13	43
13	46
13	47
13	69
13	75
13	99
14	6
14	7
14	12
14	20
14	32
14	53
14	67
14	74
14	76
14	80
14	91
14	92
14	107
14	113
14	119
14	122
15	21
15	22
15	27
15	30
15	37
15	48
15	52
15	54
15	66
15	72
15	90
15	95
15	97
15	110
15	126
15	127
16	2
16	10
16	25
16	26
16	29
16	35
16	64
16	69
16	75
16	77
16	84
16	98
16	99
16	109
16	115
16	123
17	21
17	27
17	29
17	37
17	38
17	53
17	63
17	66
17	75
17	83
17	90
17	95
17	124
17	125
17	126
17	127
18	15
18	19
18	22
18	30
18	38
18	48
18	53
18	66
18	72
18	83
18	95
18	98
18	100
18	105
18	117
18	125
19	17
19	21
19	22
19	37
19	38
19	48
19	53
19	54
19	61
19	83
19	90
19	95
19	105
19	116
19	125
19	127
20	1
20	2
20	10
20	13
20	23
20	25
20	29
20	35
20	41
20	46
20	79
20	84
20	89
20	98
20	99
20	109
21	5
21	15
21	16
21	17
21	30
21	38
21	42
21	44
21	52
21	54
21	61
21	62
21	83
21	95
21	97
21	100
22	5
22	18
22	19
22	21
22	30
22	42
22	48
22	53
22	58
22	59
22	63
22	66
22	90
22	97
22	100
22	117
23	1
23	3
23	10
23	13
23	35
23	36
23	43
23	46
23	50
23	53
23	64
23	69
23	75
23	77
23	93
23	109
24	12
24	14
24	23
24	32
24	40
24	44
24	58
24	60
24	67
24	80
24	86
24	91
24	92
24	93
24	101
24	119
25	2
25	3
25	10
25	16
25	23
25	29
25	35
25	41
25	43
25	46
25	55
25	74
25	88
25	109
25	113
25	123
26	1
26	10
26	13
26	16
26	25
26	29
26	46
26	47
26	50
26	64
26	69
26	77
26	84
26	98
26	109
26	123
27	5
27	17
27	18
27	19
27	21
27	37
27	38
27	42
27	48
27	52
27	61
27	66
27	90
27	100
27	121
27	125
28	6
28	7
28	12
28	14
28	24
28	32
28	44
28	45
28	58
28	80
28	92
