
     1      2 3.000000 
     1      3 3.000000 
     1      4 1.000000 
     1      5 3.000000 
     1      6 2.000000 
     1      8 2.000000 
     1     10 2.000000 
     1     11 2.000000 
     1     12 3.000000 
     2      1 3.000000 
     2      3 3.000000 
     2      4 1.000000 
     2      5 3.000000 
     2      6 3.000000 
     2      7 1.000000 
     2      8 1.000000 
     2     10 2.000000 
     2     11 2.000000 
     2     12 2.000000 
     2     14 1.000000 
     2     37 1.000000 
     3      1 3.000000 
     3      2 3.000000 
     3      4 2.000000 
     3      5 3.000000 
     3      6 2.000000 
     3      7 1.000000 
     3      8 2.000000 
     3      9 2.000000 
     3     10 3.000000 
     3     11 1.000000 
     3     12 3.000000 
     3     13 1.000000 
     3     14 2.000000 
     3     22 1.000000 
     3     32 1.000000 
     3     35 1.000000 
     3     36 1.000000 
     3     37 2.000000 
     4      1 1.000000 
     4      2 2.000000 
     4      3 1.000000 
     4      5 1.000000 
     4      6 1.000000 
     4      7 2.000000 
     4      8 1.000000 
     4      9 3.000000 
     4     12 2.000000 
     4     14 1.000000 
     4     15 3.000000 
     4     16 3.000000 
     4     22 1.000000 
     4     32 1.000000 
     4     33 1.000000 
     4     37 1.000000 
     4     42 1.000000 
     4     43 1.000000 
     4     44 2.000000 
     4     48 1.000000 
     5      1 3.000000 
     5      2 2.000000 
     5      3 3.000000 
     5      4 2.000000 
     5      6 2.000000 
     5      8 3.000000 
     5     10 1.000000 
     5     11 1.000000 
     5     12 3.000000 
     5     15 1.000000 
     5     32 1.000000 
     5     37 2.000000 
     5     43 1.000000 
     5     44 1.000000 
     5     48 1.000000 
     6      1 3.000000 
     6      2 3.000000 
     6      3 2.000000 
     6      5 3.000000 
     6      7 1.000000 
     6     10 2.000000 
     6     13 1.000000 
     6     14 2.000000 
     6     15 1.000000 
     6     30 1.000000 
     6     31 1.000000 
     6     33 1.000000 
     6     34 1.000000 
     6     35 2.000000 
     6     36 1.000000 
     6     37 2.000000 
     6     38 1.000000 
     6     45 1.000000 
     6     46 1.000000 
     7      3 1.000000 
     7      4 2.000000 
     7      6 1.000000 
     7      8 1.000000 
     7      9 2.000000 
     7     14 1.000000 
     7     15 2.000000 
     7     22 1.000000 
     7     33 1.000000 
     7     37 2.000000 
     7     42 1.000000 
     7     44 2.000000 
     7     46 1.000000 
     8      2 1.000000 
     8      3 1.000000 
     8      5 3.000000 
     8      9 2.000000 
     8     12 2.000000 
     8     15 1.000000 
     8     22 1.000000 
     9      4 3.000000 
     9      8 2.000000 
     9     11 1.000000 
     9     15 2.000000 
     9     22 2.000000 
     9     43 2.000000 
     9     44 2.000000 
    10      1 3.000000 
    10      2 3.000000 
    10      3 3.000000 
    10      4 1.000000 
    10      5 1.000000 
    10      6 2.000000 
    10     11 2.000000 
    10     12 2.000000 
    10     14 2.000000 
    10     22 1.000000 
    10     35 1.000000 
    10     37 2.000000 
    10     46 1.000000 
    10     48 2.000000 
    10     49 1.000000 
    11      1 2.000000 
    11      2 2.000000 
    11      3 1.000000 
    11      5 1.000000 
    11      8 1.000000 
    11      9 1.000000 
    11     10 2.000000 
